id,university,typical,subject,start,end,term,first_result,interview_date,final_result
75,연세대학교,학생부종합전형,독어독문학과,9월 10일,9월 12일,9월 10일부터 9월 12일까지,10월 6일,10월 20일,11월 16일
76,연세대학교,학생부종합전형,불어불문학과,9월 10일,9월 12일,9월 10일부터 9월 12일까지,10월 6일,10월 20일,11월 16일
77,연세대학교,학생부종합전형,노어노문학과,9월 10일,9월 12일,9월 10일부터 9월 12일까지,10월 6일,10월 20일,11월 16일
78,연세대학교,학생부종합전형,사학과,9월 10일,9월 12일,9월 10일부터 9월 12일까지,10월 6일,10월 20일,11월 16일
79,연세대학교,학생부종합전형,철학과,9월 10일,9월 12일,9월 10일부터 9월 12일까지,10월 6일,10월 20일,11월 16일
80,연세대학교,학생부종합전형,문헌정보학과,9월 10일,9월 12일,9월 10일부터 9월 12일까지,10월 6일,10월 20일,11월 16일
81,연세대학교,학생부종합전형,심리학과,9월 10일,9월 12일,9월 10일부터 9월 12일까지,10월 6일,10월 20일,11월 16일
82,연세대학교,학생부종합전형,경제학부,9월 10일,9월 12일,9월 10일부터 9월 12일까지,10월 6일,10월 20일,11월 16일
83,연세대학교,학생부종합전형,응용통계학과,9월 10일,9월 12일,9월 10일부터 9월 12일까지,10월 6일,10월 20일,11월 16일
84,연세대학교,학생부종합전형,경제학과,9월 10일,9월 12일,9월 10일부터 9월 12일까지,10월 6일,10월 20일,11월 16일
85,연세대학교,학생부종합전형,수학과,9월 10일,9월 12일,9월 10일부터 9월 12일까지,10월 6일,10월 20일,11월 16일
86,연세대학교,학생부종합전형,물리학과,9월 10일,9월 12일,9월 10일부터 9월 12일까지,10월 6일,10월 20일,11월 16일
87,연세대학교,학생부종합전형,화학과,9월 10일,9월 12일,9월 10일부터 9월 12일까지,10월 6일,10월 20일,11월 16일
88,연세대학교,학생부종합전형,지구시스템학과,9월 10일,9월 12일,9월 10일부터 9월 12일까지,10월 6일,10월 20일,11월 16일
89,연세대학교,학생부종합전형,천문우주학과,9월 10일,9월 12일,9월 10일부터 9월 12일까지,10월 6일,10월 20일,11월 16일
90,연세대학교,학생부종합전형,대기과학과,9월 10일,9월 12일,9월 10일부터 9월 12일까지,10월 6일,10월 20일,11월 16일
91,연세대학교,학생부종합전형,화공생명공학부,9월 10일,9월 12일,9월 10일부터 9월 12일까지,10월 6일,10월 20일,11월 16일
92,연세대학교,학생부종합전형,전기전자공학부,9월 10일,9월 12일,9월 10일부터 9월 12일까지,10월 6일,10월 20일,11월 16일
93,연세대학교,학생부종합전형,건축공학과,9월 10일,9월 12일,9월 10일부터 9월 12일까지,10월 6일,10월 20일,11월 16일
